1,79725
2,98775
3,99215
4,94450
5,61500
6,56895
7,84470
8,99130
9,81485
10,50385
11,102880
12,43485
13,81710
14,55920
15,45305
16,58880
17,89425
18,75610
19,78510
20,89530
21,55775
22,112065
23,85450
24,59785
25,103820
26,36865
27,69765
28,83165
29,62305
30,39695
31,64790
32,114165
33,65215
34,66825
35,64225
36,93975
37,68220
38,62280
39,108530
40,45255
41,85585
42,94260
43,106005
44,108575
45,64825
46,98880
47,91085
48,79565
49,71945
50,90040
51,44895
52,61365
53,58845
54,58440
55,62585
56,86055
57,38745
58,56630
59,92155
60,103420
61,103040
62,108320
63,83075
64,69140
65,92550
66,71160
67,49285
68,46330
69,104495
70,92985
71,98345
72,87285
73,69385
74,56410
75,70950
76,73925
77,91305
78,74980
79,107185
80,58405
81,79020
82,51625
83,87295
84,74540
85,83620
86,98560
87,74105
88,46565
89,110925
90,77760
91,48345
92,90215
93,84610
94,100855
95,114265
96,82080
97,63865
98,53210
99,114325
100,95320
101,48565
102,36285
103,64925
104,71390
105,76850
106,38535
107,86900
108,96530
109,95285
110,112095
111,46075
112,58790
113,70320
114,69210
115,56800
116,46670
117,38405
118,41520
119,37630
120,44520
121,93570
122,100970
123,95815
124,66045
125,67855
126,94230
127,73700
128,111695
129,43220
130,53935
131,111100
132,73485
133,70785
134,71780
135,63745
136,48360
137,67985
138,49340
139,78055
140,112835
141,71680
142,105230
143,39930
144,99260
145,71890
146,105720
147,45575
148,87170
149,65000
150,60400
151,49485
152,45215
153,95310
154,90350
155,66605
156,108945
157,95220
158,109245
159,114815
160,54040
161,79775
162,113735
163,45525
164,41940
165,111135
166,88680
167,89085
168,55870
169,68770
170,92680
171,96450
172,67555
173,61665
174,71810
175,57340
176,59985
177,95010
178,57490
179,86355
180,68225
181,114165
182,101425
183,76255
184,98115
185,81650
186,112515
187,67110
188,107745
189,47995
190,65320
191,90695
192,43610
193,79560
194,58135
195,74645
196,107770
197,59210
198,62040
199,37895
200,106580
201,90100
202,41760
203,80255
204,101575
205,74500
206,105885
207,95855
208,107470
209,72935
210,86115
211,102940
212,75425
213,58680
214,109600
215,47335
216,72440
217,96360
218,70095
219,90035
220,113520
221,114140
222,52125
223,50430
224,77425
225,75805
226,108525
227,97670
228,66670
229,69880
230,106770
231,55160
232,92015
233,77310
234,110890
235,79755
236,67505
237,64995
238,90210
239,84705
240,101410
241,103150
242,78940
243,111905
244,86435
245,99110
246,39995
247,108065
248,70950
249,55330
250,48925
251,87975
252,105620
253,65460
254,68415
255,83810
256,70295
257,76820
258,61055
259,86365
260,83005
261,61225
262,40425
263,110930
264,44275
265,48260
266,105605
267,84030
268,73950
269,59925
270,58900
271,83865
272,111690
273,67970
274,72375
275,55340
276,86095
277,84525
278,72825
279,35140
280,83365
281,97995
282,77050
283,40290
284,43480
285,97200
286,101725
287,74110
288,108315
289,69775
290,72065
291,80105
292,79360
293,75285
294,97315
295,89570
296,67425
297,48525
298,55105
299,43265
300,40130
301,65995
302,68020
303,44175
304,75180
305,109730
306,36950
307,36965
308,57935
309,80460
310,65600
311,99530
312,104165
313,69530
314,79705
315,104515
316,78510
317,112960
318,52050
319,93050
320,80220
321,71975
322,114765
323,36500
324,46125
325,61210
326,39040
327,78640
328,53810
329,52320
330,103585
331,45590
332,38880
333,52850
334,46465
335,84200
336,49900
337,104145
338,82845
339,62680
340,86470
341,39075
342,81400
343,45000
344,41660
345,35240
346,60955
347,52685
348,112220
349,77825
350,49515
351,55210
352,42930
353,100720
354,62040
355,40990
356,66755
357,113230
358,67595
359,96880
360,111725
361,113710
362,69865
363,106260
364,56490
365,44665
